sku,name,price,description,costPrice,compareAtPrice,stock,minStock,maxStock,status,isVisible,isFeatured,barcode,weight,width,height,length,category,supplier,tags,images
PROD001,MacBook Pro 14",2499.00,"MacBook Pro 14 pouces avec puce M3 Pro",2000.00,2799.00,50,10,100,ACTIVE,true,true,3001234567890,1.55,31.26,21.24,1.55,Ordinateurs Portables,Apple,laptop;apple;macbook;pro,https://example.com/mbp14.jpg
PROD002,iPhone 15 Pro,1229.00,"iPhone 15 Pro 128GB - Titane Naturel",950.00,1329.00,100,20,200,ACTIVE,true,true,3001234567891,0.187,14.67,7.08,0.83,Smartphones,Apple,iphone;apple;smartphone,https://example.com/iphone15.jpg
PROD003,AirPods Pro 2,279.00,"AirPods Pro 2ème génération avec réduction de bruit active",200.00,329.00,150,30,300,ACTIVE,true,false,3001234567892,0.0506,6.05,4.53,2.15,Audio,Apple,airpods;audio;wireless,https://example.com/airpods.jpg
PROD004,iPad Air M2,699.00,"iPad Air avec puce M2 - 128GB",550.00,799.00,80,15,150,ACTIVE,true,false,3001234567893,0.461,24.76,17.85,0.61,Tablettes,Apple,ipad;tablet;apple,https://example.com/ipadair.jpg
PROD005,Magic Keyboard,159.00,"Magic Keyboard pour iPad Pro 11 pouces",100.00,199.00,60,10,100,ACTIVE,true,false,3001234567894,0.293,24.81,19.04,0.41,Accessoires,Apple,keyboard;accessory,https://example.com/magickb.jpg
PROD006,Apple Watch Series 9,449.00,"Apple Watch Series 9 GPS 41mm",350.00,499.00,120,25,250,ACTIVE,true,true,3001234567895,0.0319,4.1,3.5,1.09,Montres Connectées,Apple,watch;smartwatch;fitness,https://example.com/watch9.jpg
PROD007,Mac Mini M2,699.00,"Mac Mini avec puce M2 - 8GB RAM 256GB SSD",550.00,799.00,40,8,80,ACTIVE,true,false,3001234567896,1.18,19.7,19.7,3.58,Ordinateurs de Bureau,Apple,desktop;mac;mini,https://example.com/macmini.jpg
PROD008,HomePod mini,109.00,"HomePod mini - Enceinte intelligente",80.00,119.00,90,15,150,ACTIVE,true,false,3001234567897,0.345,8.43,9.72,8.43,Audio,Apple,speaker;smart;home,https://example.com/homepod.jpg
PROD009,MagSafe Charger,45.00,"Chargeur MagSafe pour iPhone",25.00,49.00,200,40,400,ACTIVE,true,false,3001234567898,0.036,7.5,7.5,0.5,Accessoires,Apple,charger;magsafe;wireless,https://example.com/magsafe.jpg
PROD010,AirTag Pack 4,119.00,"Pack de 4 AirTag Apple",80.00,129.00,150,30,300,ACTIVE,true,false,3001234567899,0.044,3.19,3.19,0.8,Accessoires,Apple,airtag;tracker;bluetooth,https://example.com/airtag.jpg
PROD011,USB-C Cable 2m,35.00,"Câble USB-C vers USB-C 2 mètres",15.00,39.00,300,50,500,ACTIVE,true,false,3001234567900,0.05,0.3,0.3,200,Accessoires,Apple,cable;usbc;charging,https://example.com/usbccable.jpg
PROD012,Studio Display,1799.00,"Studio Display 27 pouces 5K Retina",1400.00,1999.00,25,5,50,ACTIVE,true,true,3001234567901,6.3,62.3,47.8,17.8,Moniteurs,Apple,display;monitor;5k,https://example.com/studiodisplay.jpg
PROD013,MacBook Air M2,1299.00,"MacBook Air 13 pouces avec puce M2",1000.00,1499.00,70,15,150,ACTIVE,true,true,3001234567902,1.24,30.41,21.5,1.13,Ordinateurs Portables,Apple,laptop;macbook;air,https://example.com/mba.jpg
PROD014,Mac Studio M2 Max,2299.00,"Mac Studio avec puce M2 Max",1800.00,2499.00,15,3,30,ACTIVE,true,true,3001234567903,2.7,19.7,19.7,9.5,Ordinateurs de Bureau,Apple,desktop;studio;powerful,https://example.com/macstudio.jpg
PROD015,Apple Pencil 2,149.00,"Apple Pencil 2ème génération",100.00,159.00,80,15,150,ACTIVE,true,false,3001234567904,0.0209,16.6,0.89,0.89,Accessoires,Apple,pencil;stylus;ipad,https://example.com/pencil2.jpg
PROD016,Magic Mouse,95.00,"Magic Mouse - Souris sans fil",60.00,109.00,100,20,200,ACTIVE,true,false,3001234567905,0.099,11.35,5.71,2.15,Accessoires,Apple,mouse;wireless;bluetooth,https://example.com/magicmouse.jpg
PROD017,iPhone 15,969.00,"iPhone 15 128GB - Noir",750.00,1079.00,150,30,300,ACTIVE,true,true,3001234567906,0.171,14.76,7.16,0.78,Smartphones,Apple,iphone;smartphone,https://example.com/iphone15.jpg
PROD018,iPad Pro 11,899.00,"iPad Pro 11 pouces M2 - 128GB",700.00,999.00,60,12,120,ACTIVE,true,true,3001234567907,0.466,24.76,17.85,0.59,Tablettes,Apple,ipad;pro;tablet,https://example.com/ipadpro11.jpg
PROD019,AirPods 3,199.00,"AirPods 3ème génération avec boîtier de charge MagSafe",140.00,229.00,180,35,350,ACTIVE,true,false,3001234567908,0.0428,4.61,5.44,2.13,Audio,Apple,airpods;wireless;audio,https://example.com/airpods3.jpg
PROD020,Smart Folio iPad,89.00,"Smart Folio pour iPad Air - Noir",50.00,99.00,120,25,250,ACTIVE,true,false,3001234567909,0.155,25.1,19,0.5,Accessoires,Apple,case;folio;protection,https://example.com/smartfolio.jpg
